page,img_index,filename,width,height
7,1,extracted_images/page007_img1.png,187,121
7,2,extracted_images/page007_img2.png,372,227
7,3,extracted_images/page007_img3.png,365,212
7,4,extracted_images/page007_img4.png,374,191
7,5,extracted_images/page007_img5.png,578,309
9,1,extracted_images/page009_img1.png,557,311
9,2,extracted_images/page009_img2.png,527,296
9,3,extracted_images/page009_img3.png,527,275
9,4,extracted_images/page009_img4.png,391,206
9,5,extracted_images/page009_img5.png,406,211
11,1,extracted_images/page011_img1.png,469,238
11,2,extracted_images/page011_img2.png,437,234
11,3,extracted_images/page011_img3.png,1264,740
12,1,extracted_images/page012_img1.png,1264,740
13,1,extracted_images/page013_img1.png,735,481
13,2,extracted_images/page013_img2.png,834,471
15,1,extracted_images/page015_img1.png,548,975
18,1,extracted_images/page018_img1.png,750,835
19,1,extracted_images/page019_img1.png,750,963
19,2,extracted_images/page019_img2.png,750,422
20,1,extracted_images/page020_img1.png,548,975
21,1,extracted_images/page021_img1.png,548,975
22,1,extracted_images/page022_img1.png,548,975
23,1,extracted_images/page023_img1.png,548,975
24,1,extracted_images/page024_img1.png,548,975
25,1,extracted_images/page025_img1.png,548,975
26,1,extracted_images/page026_img1.png,548,975
27,1,extracted_images/page027_img1.png,548,975
28,1,extracted_images/page028_img1.png,548,975
29,1,extracted_images/page029_img1.png,548,975
30,1,extracted_images/page030_img1.png,548,975
31,1,extracted_images/page031_img1.png,548,975
31,2,extracted_images/page031_img2.png,750,341
32,1,extracted_images/page032_img1.png,437,975
33,1,extracted_images/page033_img1.png,548,975
34,1,extracted_images/page034_img1.png,548,975
35,1,extracted_images/page035_img1.png,750,422
35,2,extracted_images/page035_img2.png,750,921
36,1,extracted_images/page036_img1.png,436,776
36,2,extracted_images/page036_img2.png,530,776
36,3,extracted_images/page036_img3.png,443,776
37,1,extracted_images/page037_img1.png,443,776
38,1,extracted_images/page038_img1.png,436,776
38,2,extracted_images/page038_img2.png,436,776
38,3,extracted_images/page038_img3.png,436,776
39,1,extracted_images/page039_img1.png,436,776
39,2,extracted_images/page039_img2.png,436,776
39,3,extracted_images/page039_img3.png,436,776
40,1,extracted_images/page040_img1.png,596,587
42,1,extracted_images/page042_img1.png,656,451
43,1,extracted_images/page043_img1.png,378,570
43,2,extracted_images/page043_img2.png,439,218
43,3,extracted_images/page043_img3.png,439,220
44,1,extracted_images/page044_img1.png,1139,619
50,1,extracted_images/page050_img1.png,548,975
51,1,extracted_images/page051_img1.png,548,975
51,2,extracted_images/page051_img2.png,548,975
52,1,extracted_images/page052_img1.png,548,975
53,1,extracted_images/page053_img1.png,731,975
54,1,extracted_images/page054_img1.png,731,975
55,1,extracted_images/page055_img1.png,731,975
56,1,extracted_images/page056_img1.png,1219,327
56,2,extracted_images/page056_img2.png,1108,239
56,3,extracted_images/page056_img3.png,1221,204
57,1,extracted_images/page057_img1.png,573,190
57,2,extracted_images/page057_img2.png,609,444
57,3,extracted_images/page057_img3.png,181,138
57,4,extracted_images/page057_img4.png,181,133
57,5,extracted_images/page057_img5.png,173,131
57,6,extracted_images/page057_img6.png,369,164
58,1,extracted_images/page058_img1.png,333,139
58,2,extracted_images/page058_img2.png,140,142
58,3,extracted_images/page058_img3.png,151,143
58,4,extracted_images/page058_img4.png,158,144
58,6,extracted_images/page058_img6.png,280,222
58,7,extracted_images/page058_img7.png,159,164
59,1,extracted_images/page059_img1.png,288,207
59,2,extracted_images/page059_img2.png,294,217
59,3,extracted_images/page059_img3.png,291,217
59,5,extracted_images/page059_img5.png,280,218
59,6,extracted_images/page059_img6.png,292,226
60,1,extracted_images/page060_img1.png,161,167
60,2,extracted_images/page060_img2.png,278,213
60,3,extracted_images/page060_img3.png,296,216
60,4,extracted_images/page060_img4.png,286,212
60,5,extracted_images/page060_img5.png,291,216
60,6,extracted_images/page060_img6.png,87,99
61,1,extracted_images/page061_img1.png,285,220
61,2,extracted_images/page061_img2.png,283,218
