page,img_index,filename,width,height
1,1,extracted_images_t2/page001_img1.png,548,975
2,1,extracted_images_t2/page002_img1.png,548,975
2,2,extracted_images_t2/page002_img2.png,750,421
3,1,extracted_images_t2/page003_img1.png,548,975
4,1,extracted_images_t2/page004_img1.png,548,975
5,1,extracted_images_t2/page005_img1.png,548,975
6,1,extracted_images_t2/page006_img1.png,548,975
7,1,extracted_images_t2/page007_img1.png,548,975
11,1,extracted_images_t2/page011_img1.png,650,975
12,1,extracted_images_t2/page012_img1.png,750,645
13,1,extracted_images_t2/page013_img1.png,750,855
16,1,extracted_images_t2/page016_img1.png,750,492
21,1,extracted_images_t2/page021_img1.png,750,963
22,1,extracted_images_t2/page022_img1.png,750,944
23,1,extracted_images_t2/page023_img1.png,548,975
24,1,extracted_images_t2/page024_img1.png,548,975
25,1,extracted_images_t2/page025_img1.png,475,844
26,1,extracted_images_t2/page026_img1.png,475,957
27,1,extracted_images_t2/page027_img1.png,475,844
28,1,extracted_images_t2/page028_img1.png,475,844
28,2,extracted_images_t2/page028_img2.png,475,247
29,1,extracted_images_t2/page029_img1.png,475,247
30,1,extracted_images_t2/page030_img1.png,486,844
31,1,extracted_images_t2/page031_img1.png,548,975
32,1,extracted_images_t2/page032_img1.png,548,975
33,1,extracted_images_t2/page033_img1.png,548,975
34,1,extracted_images_t2/page034_img1.png,739,633
35,1,extracted_images_t2/page035_img1.png,1063,748
35,2,extracted_images_t2/page035_img2.png,741,633
37,1,extracted_images_t2/page037_img1.png,1152,872
38,1,extracted_images_t2/page038_img1.png,447,264
39,1,extracted_images_t2/page039_img1.png,604,347
43,1,extracted_images_t2/page043_img1.png,582,528
44,1,extracted_images_t2/page044_img1.png,448,384
44,2,extracted_images_t2/page044_img2.png,753,584
45,1,extracted_images_t2/page045_img1.png,447,354
45,2,extracted_images_t2/page045_img2.png,222,187
45,3,extracted_images_t2/page045_img3.png,223,213
45,4,extracted_images_t2/page045_img4.png,645,520
46,1,extracted_images_t2/page046_img1.png,521,411
46,2,extracted_images_t2/page046_img2.png,355,323
47,1,extracted_images_t2/page047_img1.png,548,975
48,1,extracted_images_t2/page048_img1.png,548,975
49,1,extracted_images_t2/page049_img1.png,548,975
50,1,extracted_images_t2/page050_img1.png,548,975
51,1,extracted_images_t2/page051_img1.png,548,975
52,1,extracted_images_t2/page052_img1.png,559,975
53,1,extracted_images_t2/page053_img1.png,548,975
54,1,extracted_images_t2/page054_img1.png,548,975
55,1,extracted_images_t2/page055_img1.png,548,975
56,1,extracted_images_t2/page056_img1.png,548,975
57,1,extracted_images_t2/page057_img1.png,548,975
58,1,extracted_images_t2/page058_img1.png,548,975
59,1,extracted_images_t2/page059_img1.png,548,975
60,1,extracted_images_t2/page060_img1.png,548,975
60,2,extracted_images_t2/page060_img2.png,750,422
61,1,extracted_images_t2/page061_img1.png,750,422
61,2,extracted_images_t2/page061_img2.png,750,422
62,1,extracted_images_t2/page062_img1.png,548,975
63,1,extracted_images_t2/page063_img1.png,548,975
64,1,extracted_images_t2/page064_img1.png,548,975
64,2,extracted_images_t2/page064_img2.png,750,422
65,1,extracted_images_t2/page065_img1.png,548,975
66,1,extracted_images_t2/page066_img1.png,548,975
67,1,extracted_images_t2/page067_img1.png,548,975
68,1,extracted_images_t2/page068_img1.png,548,975
68,2,extracted_images_t2/page068_img2.png,750,422
69,1,extracted_images_t2/page069_img1.png,750,533
70,1,extracted_images_t2/page070_img1.png,548,975
71,1,extracted_images_t2/page071_img1.png,584,975
71,2,extracted_images_t2/page071_img2.png,750,422
72,1,extracted_images_t2/page072_img1.png,548,975
73,1,extracted_images_t2/page073_img1.png,548,975
74,1,extracted_images_t2/page074_img1.png,548,975
75,1,extracted_images_t2/page075_img1.png,548,975
76,1,extracted_images_t2/page076_img1.png,564,975
77,1,extracted_images_t2/page077_img1.png,750,861
78,1,extracted_images_t2/page078_img1.png,548,975
79,1,extracted_images_t2/page079_img1.png,750,896
80,1,extracted_images_t2/page080_img1.png,548,975
81,1,extracted_images_t2/page081_img1.png,548,975
82,1,extracted_images_t2/page082_img1.png,548,975
83,1,extracted_images_t2/page083_img1.png,548,975
84,1,extracted_images_t2/page084_img1.png,548,975
85,1,extracted_images_t2/page085_img1.png,548,975
86,1,extracted_images_t2/page086_img1.png,548,975
87,1,extracted_images_t2/page087_img1.png,548,975
88,1,extracted_images_t2/page088_img1.png,548,975
89,1,extracted_images_t2/page089_img1.png,548,975
90,1,extracted_images_t2/page090_img1.png,548,975
91,1,extracted_images_t2/page091_img1.png,548,975
92,1,extracted_images_t2/page092_img1.png,548,975
93,1,extracted_images_t2/page093_img1.png,548,975
94,1,extracted_images_t2/page094_img1.png,548,975
95,1,extracted_images_t2/page095_img1.png,548,975
96,1,extracted_images_t2/page096_img1.png,548,975
97,1,extracted_images_t2/page097_img1.png,548,975
98,1,extracted_images_t2/page098_img1.png,750,949
99,1,extracted_images_t2/page099_img1.png,548,975
100,1,extracted_images_t2/page100_img1.png,548,975
101,1,extracted_images_t2/page101_img1.png,548,975
102,1,extracted_images_t2/page102_img1.png,548,975
103,1,extracted_images_t2/page103_img1.png,548,975
104,1,extracted_images_t2/page104_img1.png,548,975
105,1,extracted_images_t2/page105_img1.png,548,975
106,1,extracted_images_t2/page106_img1.png,750,541
106,2,extracted_images_t2/page106_img2.png,750,420
106,3,extracted_images_t2/page106_img3.png,750,422
107,1,extracted_images_t2/page107_img1.png,750,733
107,2,extracted_images_t2/page107_img2.png,750,483
108,1,extracted_images_t2/page108_img1.png,750,486
109,1,extracted_images_t2/page109_img1.png,750,422
109,2,extracted_images_t2/page109_img2.png,750,422
110,1,extracted_images_t2/page110_img1.png,750,422
110,2,extracted_images_t2/page110_img2.png,750,422
110,3,extracted_images_t2/page110_img3.png,750,422
110,4,extracted_images_t2/page110_img4.png,750,421
111,1,extracted_images_t2/page111_img1.png,750,422
111,2,extracted_images_t2/page111_img2.png,750,422
111,3,extracted_images_t2/page111_img3.png,750,422
112,1,extracted_images_t2/page112_img1.png,750,422
112,2,extracted_images_t2/page112_img2.png,548,975
113,1,extracted_images_t2/page113_img1.png,771,613
115,1,extracted_images_t2/page115_img1.png,1147,855
116,1,extracted_images_t2/page116_img1.png,548,975
117,1,extracted_images_t2/page117_img1.png,548,975
118,1,extracted_images_t2/page118_img1.png,548,975
119,1,extracted_images_t2/page119_img1.png,548,975
120,1,extracted_images_t2/page120_img1.png,674,975
121,1,extracted_images_t2/page121_img1.png,548,975
122,1,extracted_images_t2/page122_img1.png,548,975
123,1,extracted_images_t2/page123_img1.png,548,975
124,1,extracted_images_t2/page124_img1.png,548,975
124,2,extracted_images_t2/page124_img2.png,750,360
125,1,extracted_images_t2/page125_img1.png,409,975
126,1,extracted_images_t2/page126_img1.png,750,874
127,1,extracted_images_t2/page127_img1.png,549,975
128,1,extracted_images_t2/page128_img1.png,750,801
129,1,extracted_images_t2/page129_img1.png,548,975
130,1,extracted_images_t2/page130_img1.png,548,975
131,1,extracted_images_t2/page131_img1.png,548,975
132,1,extracted_images_t2/page132_img1.png,548,975
133,1,extracted_images_t2/page133_img1.png,548,975
134,1,extracted_images_t2/page134_img1.png,548,975
135,1,extracted_images_t2/page135_img1.png,548,975
136,1,extracted_images_t2/page136_img1.png,548,975
137,1,extracted_images_t2/page137_img1.png,548,975
138,1,extracted_images_t2/page138_img1.png,548,975
139,1,extracted_images_t2/page139_img1.png,548,975
140,1,extracted_images_t2/page140_img1.png,548,975
141,1,extracted_images_t2/page141_img1.png,548,975
142,1,extracted_images_t2/page142_img1.png,645,975
143,1,extracted_images_t2/page143_img1.png,685,975
143,2,extracted_images_t2/page143_img2.png,750,492
144,1,extracted_images_t2/page144_img1.png,548,975
144,2,extracted_images_t2/page144_img2.png,750,446
145,1,extracted_images_t2/page145_img1.png,548,975
146,1,extracted_images_t2/page146_img1.png,548,975
146,2,extracted_images_t2/page146_img2.png,750,410
147,1,extracted_images_t2/page147_img1.png,750,315
147,2,extracted_images_t2/page147_img2.png,750,478
147,3,extracted_images_t2/page147_img3.png,750,537
148,1,extracted_images_t2/page148_img1.png,664,975
149,1,extracted_images_t2/page149_img1.png,548,975
150,1,extracted_images_t2/page150_img1.png,548,975
151,1,extracted_images_t2/page151_img1.png,548,975
151,2,extracted_images_t2/page151_img2.png,750,393
152,1,extracted_images_t2/page152_img1.png,750,710
153,1,extracted_images_t2/page153_img1.png,548,975
154,1,extracted_images_t2/page154_img1.png,548,975
155,1,extracted_images_t2/page155_img1.png,750,513
156,1,extracted_images_t2/page156_img1.png,703,975
157,1,extracted_images_t2/page157_img1.png,548,975
158,1,extracted_images_t2/page158_img1.png,548,975
159,1,extracted_images_t2/page159_img1.png,548,975
160,1,extracted_images_t2/page160_img1.png,548,975
161,1,extracted_images_t2/page161_img1.png,750,383
162,1,extracted_images_t2/page162_img1.png,548,975
163,1,extracted_images_t2/page163_img1.png,750,536
163,2,extracted_images_t2/page163_img2.png,750,512
164,1,extracted_images_t2/page164_img1.png,750,611
164,2,extracted_images_t2/page164_img2.png,750,403
165,1,extracted_images_t2/page165_img1.png,750,532
165,2,extracted_images_t2/page165_img2.png,750,530
166,1,extracted_images_t2/page166_img1.png,750,483
167,1,extracted_images_t2/page167_img1.png,548,975
168,1,extracted_images_t2/page168_img1.png,750,586
168,2,extracted_images_t2/page168_img2.png,750,406
169,1,extracted_images_t2/page169_img1.png,750,537
169,2,extracted_images_t2/page169_img2.png,750,722
170,1,extracted_images_t2/page170_img1.png,750,663
178,1,extracted_images_t2/page178_img1.png,548,975
179,1,extracted_images_t2/page179_img1.png,548,975
180,1,extracted_images_t2/page180_img1.png,548,975
181,1,extracted_images_t2/page181_img1.png,548,975
182,1,extracted_images_t2/page182_img1.png,548,975
183,1,extracted_images_t2/page183_img1.png,750,968
184,1,extracted_images_t2/page184_img1.png,548,975
185,1,extracted_images_t2/page185_img1.png,548,975
186,1,extracted_images_t2/page186_img1.png,548,975
187,1,extracted_images_t2/page187_img1.png,548,975
188,1,extracted_images_t2/page188_img1.png,548,975
189,1,extracted_images_t2/page189_img1.png,548,975
190,1,extracted_images_t2/page190_img1.png,548,975
191,1,extracted_images_t2/page191_img1.png,548,975
192,1,extracted_images_t2/page192_img1.png,548,975
193,1,extracted_images_t2/page193_img1.png,548,975
193,2,extracted_images_t2/page193_img2.png,750,422
194,1,extracted_images_t2/page194_img1.png,548,975
195,1,extracted_images_t2/page195_img1.png,548,975
196,1,extracted_images_t2/page196_img1.png,548,975
197,1,extracted_images_t2/page197_img1.png,750,560
198,1,extracted_images_t2/page198_img1.png,548,975
199,1,extracted_images_t2/page199_img1.png,548,975
200,1,extracted_images_t2/page200_img1.png,548,975
201,1,extracted_images_t2/page201_img1.png,548,975
202,1,extracted_images_t2/page202_img1.png,548,975
206,1,extracted_images_t2/page206_img1.png,697,441
206,2,extracted_images_t2/page206_img2.png,697,392
207,1,extracted_images_t2/page207_img1.png,697,406
207,2,extracted_images_t2/page207_img2.png,697,400
209,1,extracted_images_t2/page209_img1.png,750,410
210,1,extracted_images_t2/page210_img1.png,750,415
211,1,extracted_images_t2/page211_img1.png,750,405
212,1,extracted_images_t2/page212_img1.png,548,975
213,1,extracted_images_t2/page213_img1.png,548,975
214,1,extracted_images_t2/page214_img1.png,548,975
215,1,extracted_images_t2/page215_img1.png,548,975
216,1,extracted_images_t2/page216_img1.png,548,975
217,1,extracted_images_t2/page217_img1.png,548,975
218,1,extracted_images_t2/page218_img1.png,750,426
218,2,extracted_images_t2/page218_img2.png,548,975
219,1,extracted_images_t2/page219_img1.png,548,975
224,1,extracted_images_t2/page224_img1.png,548,975
225,1,extracted_images_t2/page225_img1.png,548,975
226,1,extracted_images_t2/page226_img1.png,750,422
226,2,extracted_images_t2/page226_img2.png,750,422
227,1,extracted_images_t2/page227_img1.png,434,771
228,1,extracted_images_t2/page228_img1.png,434,771
229,1,extracted_images_t2/page229_img1.png,434,771
229,2,extracted_images_t2/page229_img2.png,593,305
230,1,extracted_images_t2/page230_img1.png,593,331
230,2,extracted_images_t2/page230_img2.png,1129,838
231,1,extracted_images_t2/page231_img1.png,1154,741
231,2,extracted_images_t2/page231_img2.png,593,339
232,1,extracted_images_t2/page232_img1.png,593,350
232,2,extracted_images_t2/page232_img2.png,434,771
233,1,extracted_images_t2/page233_img1.png,434,771
235,1,extracted_images_t2/page235_img1.png,548,975
236,1,extracted_images_t2/page236_img1.png,548,975
237,1,extracted_images_t2/page237_img1.png,548,975
237,2,extracted_images_t2/page237_img2.png,750,422
238,1,extracted_images_t2/page238_img1.png,750,422
238,2,extracted_images_t2/page238_img2.png,548,975
239,1,extracted_images_t2/page239_img1.png,750,422
239,2,extracted_images_t2/page239_img2.png,548,975
240,1,extracted_images_t2/page240_img1.png,706,975
241,1,extracted_images_t2/page241_img1.png,548,975
242,1,extracted_images_t2/page242_img1.png,548,975
242,2,extracted_images_t2/page242_img2.png,750,422
243,1,extracted_images_t2/page243_img1.png,548,975
